Treat,Date,Rep,ID,Event,FPS,Ind1,Ind2
Sticky,210517,1,1,1,30,65.69341672,62.06095794
Sticky,210518,1,2,1,30,62.81172263,61.05837371
Sticky,210518,2,3,1,30,53.03300859,51.49332481
Sticky,210518,3,4,1,30,55.69167352,57.62215286
Sticky,210518,4,5,1,30,54.886246,47.84414802
Sticky,210518,5,6,1,30,58.75,60.94310872
Sticky,210518,6,7,1,30,60.46693311,51.99158586
Sticky,210518,7,8,1,30,53.80810813,54.91470659
Sticky,210518,8,9,1,30,64.05563988,58.75
Sticky,210519,1,10,1,30,66.01372963,60.13006735
Sticky,210519,1,10,2,30,67.14024501,61.55536126
Sticky,210519,2,11,NA,30,NA,NA
Sticky,210520,1,12,1,30,55.80378571,54.60082417
Sticky,210520,1,12,2,30,55.80378571,54.60082417
Sticky,210520,2,13,1,30,65.44320056,58.8695592
Sticky,210520,2,13,2,30,56.47178499,62.69968102
Sticky,210522,1,14,NA,30,NA,NA
Sticky,210522,2,15,1,30,58.96238208,59.29270613
Sticky,210523,1,16,1,30,55.01420271,53.76453292
Sticky,210523,2,17,1,30,65.43126164,61.70747524
Sticky,210528,1,18,1,30,60.13006735,58.55019214
Sticky,210528,1,18,2,30,63.94577781,57.00877125
Sticky,210528,1,18,3,30,59.29270613,54.45755228
Sticky,210606,1,19,NA,30,NA,NA
Sticky,210606,2,20,NA,30,NA,NA
Sticky,210607,1,21,1,30,NA,NA
Sticky,210607,2,22,1,30,71.03036323,63.36895928
Sticky,210607,3,23,NA,30,NA,NA
Sticky,210607,4,24,NA,30,NA,NA
Sticky,210607,5,25,1,30,65.40737726,65.96637401
Sticky,210607,6,26,1,30,62.51249875,62.1615838
Sticky,210607,7,27,NA,30,NA,NA
Sticky,210607,8,28,1,30,62.8614548,64.14095805
Sticky,210607,9,29,1,30,60.63466418,61.84658438
Sticky,210607,10,30,NA,30,NA,NA
Control,NA,NA,9,NA,25,44.59820624,42.52058325
Control,NA,NA,1,NA,25,42.44997055,44.27188724
Control,NA,NA,10,NA,25,43.26661531,41.40048309
Control,NA,NA,11,NA,25,46.64761516,38.60051813
Control,NA,NA,12,NA,25,44.28317965,40
Control,NA,NA,13,NA,25,45.01110974,41.23105626
Control,NA,NA,14,NA,25,43.08131846,39.62322551
Control,NA,NA,15,NA,25,47.16990566,42.04759208
Control,NA,NA,16,NA,25,43.26661531,40.49691346
Control,NA,NA,17,NA,25,43.65775991,41.0487515
Control,NA,NA,18,NA,25,37.57658846,40.04996879
Control,NA,NA,19,NA,25,41.23105626,43.68065934
Control,NA,NA,2,NA,25,44.28317965,41.23105626
Control,NA,NA,20,NA,25,44.59820624,40.49691346
Control,NA,NA,21,NA,25,41.76122604,41.61730409
Control,NA,NA,22,NA,25,47.16990566,41.77319715
Control,NA,NA,23,NA,25,42,40.04996879
Control,NA,NA,24,NA,25,43.8634244,38.32753579
Control,NA,NA,25,NA,25,39.20459157,41.77319715
Control,NA,NA,26,NA,25,44.82186966,38.94868419
Control,NA,NA,27,NA,25,44.55333882,44.04543109
Control,NA,NA,3,NA,25,45.27692569,42.57933771
Control,NA,NA,4,NA,25,43.93176527,42.42640687
Control,NA,NA,5,NA,25,41.23105626,41.18252056
Control,NA,NA,6,NA,25,45.88027899,41.19465985
Control,NA,NA,7,NA,25,41.0487515,45.61797891
Control,NA,NA,8,NA,25,44.28317965,41.97618372
Control-SLEAP,NA,NA,1,NA,60,177.098842,165.9518
Control-SLEAP,NA,NA,2,NA,60,169.257201,171.918585
Control-SLEAP,NA,NA,3,NA,60,167.451486,168.309239
Control-SLEAP,NA,NA,4,NA,60,175.931805,172.104619
Control-SLEAP,NA,NA,5,NA,60,172.742583,174.413302
Control-SLEAP,NA,NA,6,NA,60,175.863583,173.366663
Control-SLEAP,NA,NA,7,NA,60,161.245155,176.91806
Control-SLEAP,NA,NA,8,NA,60,166.769302,159.699718
Control-SLEAP,NA,NA,9,NA,60,171.813853,161.554944
Control-SLEAP,NA,NA,10,NA,60,186.043006,182.395175
Sticky-DLC,210517,1,1,1,5,50.69516742,48.81854156
Sticky-DLC,210518,1,2,1,5,48.38646505,48.81085945
Sticky-DLC,210518,2,3,1,5,39.88107321,41.24621195
Sticky-DLC,210518,3,4,1,5,45.12205669,44.55333882
Sticky-DLC,210518,4,5,1,5,44.25494323,37.51333096
Sticky-DLC,210518,5,6,1,5,44.52527372,46.95742753
Sticky-DLC,210518,6,7,1,5,45.89389938,41.77319715
Sticky-DLC,210518,7,8,1,5,42.5,42.10997507
Sticky-DLC,210518,8,9,1,5,46.82413907,47.01595474
Sticky-DLC,210519,1,10,2,5,51.02205406,49.70160963
Sticky-DLC,210519,1,10,1,5,51.70348151,47.59464256
Sticky-DLC,210519,2,,NA,30,NA,NA
Sticky-DLC,210520,1,12,1,5,46.97073557,38.89087297
Sticky-DLC,210520,1,12,2,5,44.93606569,40.66017708
Sticky-DLC,210520,2,13,1,5,44.55333882,44.63462781
Sticky-DLC,210520,2,13,2,5,45.04442252,49.04079934
Sticky-DLC,210522,1,,NA,30,NA,NA
Sticky-DLC,210522,2,15,1,5,47.26520919,46.98137929
Sticky-DLC,210523,1,16,1,5,42.00297609,43.32435804
Sticky-DLC,210523,2,17,1,5,47.42362281,48.46648326
Sticky-DLC,210528,1,18,1,5,45.74111936,46.81078935
Sticky-DLC,210528,1,18,2,5,51.91579721,50.28419235
Sticky-DLC,210528,1,18,3,5,45.79301257,42.99418565
Sticky-DLC,210606,1,19,NA,30,NA,NA
Sticky-DLC,210606,2,20,NA,30,NA,NA
Sticky-DLC,210607,1,21,1,30,NA,NA
Sticky-DLC,210607,2,22,1,5,48.1300322,46.61544808
Sticky-DLC,210607,3,23,NA,30,NA,NA
Sticky-DLC,210607,4,24,NA,30,NA,NA
Sticky-DLC,210607,5,25,1,5,47.02393008,45.69463864
Sticky-DLC,210607,6,26,1,5,48.5849771,49.06373406
Sticky-DLC,210607,7,27,NA,30,NA,NA
Sticky-DLC,210607,8,28,1,5,48.30372656,49.24428901
Sticky-DLC,210607,9,29,1,5,48.38646505,48.02343178
Sticky-DLC,210607,10,30,NA,30,NA,NA
